id_client;service_sauvegarde;service_antivirus;service_assurance;service_streaming_film;service_streaming_tv;service_support
YGXVR96889;1;0;1;0;1;0
DOJGF92862;0;0;0;0;0;0
KERXL69946;0;0;0;1;0;0
UAESM21813;0;1;1;0;0;0
GVYNH43124;0;1;1;1;0;1
KZNFB24955;0;1;0;1;0;0
NHWMM43679;0;0;0;0;0;0
KASCD88988;0;0;1;0;0;1
NCFVO80164;1;1;1;1;1;1
PHJYZ45789;1;0;1;0;1;1
MJTFX20912;0;0;0;1;1;1
DJJDL22777;0;0;0;1;1;1
MORQY25119;0;0;1;0;0;0
GJRDG27315;0;1;1;1;1;1
EZDKJ17844;1;0;1;1;1;0
SJFLM24688;0;0;0;0;0;1
XPXHZ87085;0;0;0;1;1;0
WZHJF06014;0;0;0;1;1;0
WYDOU46839;0;0;1;1;1;1
ZBDRN09634;0;0;0;1;1;1
JTKJF48716;0;0;0;0;0;0
TETGO71733;0;1;0;0;0;0
ORFCL41937;0;0;0;0;0;0
UAPKZ23696;1;0;1;1;1;0
QLVZB51935;1;0;1;1;1;0
DJQHR03799;1;1;1;1;1;0
FWVFY46576;1;0;1;0;1;0
EJQEG06232;0;1;0;1;0;1
UYKBC45014;0;0;1;1;0;1
WPEZG81588;1;0;0;0;0;1
EQMWY97325;1;0;1;1;1;0
BTKWT10999;0;1;1;1;1;0
UTSLV64075;1;0;0;0;1;0
NYROU00186;0;0;0;0;0;0
XJMEX46321;1;1;0;0;0;1
PHXTF14092;1;0;1;1;1;1
TNIQA82291;0;0;0;0;0;0
ONKER05299;0;0;0;0;0;0
CGXFK44845;0;0;0;1;0;0
DLSHD42802;1;0;1;0;0;0
AGZNL93003;0;0;0;1;1;0
CZANW27898;1;1;0;1;1;1
EWTRS72167;0;0;1;1;1;0
KAZHE44684;1;0;0;1;0;0
ULFNQ86239;0;0;0;1;0;1
WZPGV93173;0;0;0;1;0;0
YRTDV89473;1;1;1;1;0;0
SBTRN80713;1;1;1;1;1;0
MLJPN47016;0;0;1;0;0;1
WNWPJ12051;0;0;0;0;1;1
HDPXZ61582;0;0;0;0;0;0
VLCTZ66836;0;0;1;1;1;0
OWVYD37271;1;1;1;0;0;0
NAOES08569;0;0;1;0;1;0
FGDCR05621;1;1;0;0;1;1
VWCNI22776;0;0;0;0;0;0
MGVPY91358;1;1;1;1;1;1
SLMEF38151;0;1;0;0;0;1
CXYIX45132;0;1;0;0;0;0
SYEUS66335;1;0;1;0;0;1
GYWLO93329;0;0;0;0;1;0
HDUEG32764;0;0;0;0;0;0
YPYBV89997;1;1;1;1;1;1
VVDMG15221;1;0;0;0;1;1
SOMKO08489;0;1;1;1;0;1
EFPNL69236;0;0;0;0;0;0
FQSTQ21672;1;1;1;1;1;1
BHDQG92866;1;1;1;0;0;1
CBZPL72253;0;0;0;1;1;0
IYGFG56051;0;0;0;0;0;0
YXDAD75711;0;0;0;0;0;0
FNMCI02549;1;1;1;1;1;1
FJGLA89818;0;0;1;0;0;0
MYSHR84144;0;0;0;1;1;0
CNFMO92743;0;0;0;0;0;0
NFNCH37949;0;0;1;0;0;0
DDVRV11001;1;0;0;1;1;0
BNTHX95224;1;0;1;1;1;0
IYRBF36777;0;0;1;0;0;0
ZNGGW82502;1;1;0;0;0;1
RQHXR75944;0;0;0;1;0;0
NXZCP72356;0;0;0;0;0;0
OAHPZ01226;0;0;0;0;0;0
ZXFOE83311;1;1;1;0;0;1
UPRHR89015;1;0;1;1;1;1
SVYLG35633;1;1;1;0;0;1
MXZRA32059;0;0;0;0;1;1
AKEMH53923;0;0;0;0;0;0
AAXCB82016;0;0;0;0;1;0
ELBGL69196;1;1;1;1;1;1
IJVDB05309;1;1;1;1;1;1
LHVLY50476;0;0;1;0;0;0
FYDIB84045;1;1;0;0;0;0
TAILE34154;0;0;0;1;1;0
QVYJO67626;0;1;1;1;1;1
NUHWD50466;0;1;1;1;0;0
GHRQR01061;1;0;1;1;0;0
XGEJJ83746;1;0;0;1;1;0
KZAAT25462;1;1;0;1;1;0
NMZYQ75699;1;1;1;1;1;1
NTNFO37142;0;0;0;1;0;0
DWKTI87051;0;0;1;1;0;0
CIPQE25992;1;1;1;1;1;1
GFPMB51368;0;0;1;1;0;0
YHMGA64763;1;0;1;1;1;1
MJDSB30557;0;0;0;0;0;0
GMHUV75161;0;1;1;1;1;0
NFXKV59403;0;0;0;1;0;0
YASZG35978;1;0;0;1;1;1
WOVKF37867;1;1;0;1;1;0
MLNTI28062;1;0;1;1;1;0
DDIHE07992;0;0;0;0;0;0
PJHDQ99263;0;0;1;1;1;0
GDDSO03342;1;0;0;0;0;0
KFUOG23713;1;1;0;1;1;0
VLQVU58867;0;0;0;1;0;1
ORPIK31943;0;0;0;0;1;0
KSUGX78606;1;1;1;0;0;0
MXLSX29259;1;0;1;0;1;0
FILNV29331;0;0;0;0;0;0
XKCBS77586;0;0;0;0;0;1
DNKIV20273;0;1;1;0;0;1
ERMAN47515;1;0;1;1;1;0
SKFGK79296;1;1;1;1;1;1
IBERQ50167;1;0;1;0;0;0
ZMYXQ54059;0;0;0;0;0;0
TZDMQ78418;0;0;0;0;0;0
CLVZW97541;1;1;0;0;0;1
QEICA32985;0;1;0;0;0;1
LOJKX94206;1;1;0;1;1;0
JSQEW33917;1;0;0;0;0;0
KYYPY49399;0;0;1;0;0;1
YAGIY64806;1;1;1;1;1;1
IVZHA03303;0;0;0;0;0;0
TTRXI12609;0;0;0;1;0;0
JLGJT89639;0;1;1;0;0;0
LJADA61225;1;1;1;1;1;1
YGLWG87102;0;0;0;0;0;0
HHXJR64632;1;1;1;0;1;0
SYUHJ95766;0;1;0;0;1;0
LBQVU92896;1;0;0;1;0;1
QPJED22071;0;0;1;0;1;1
YNRIO69906;0;1;1;1;1;1
WMEMG04896;0;0;0;0;0;1
UXTKY21896;0;1;0;1;1;1
MXJLL71057;0;0;1;1;0;0
VBDCG71331;1;1;0;0;0;0
QRGTX99334;0;1;0;1;1;1
ELRKD63564;0;1;0;1;1;0
IIQOF21945;1;1;1;1;1;1
GBATB80638;0;0;0;1;0;0
CTWIH96113;0;0;0;1;1;0
DPYUH35715;1;0;0;0;1;1
QJGJD85196;0;0;1;0;0;0
NEQVZ58464;0;1;1;1;0;1
KOUQO60222;0;0;0;0;0;1
TVUQF48843;0;1;1;1;0;1
GTPCA64393;0;0;1;0;0;1
CAWEX37956;1;1;1;1;1;1
DPRQE78214;1;1;0;1;1;1
CLMLV49834;1;0;0;1;1;1
DAMQP23802;1;1;1;1;1;1
BFESC75341;0;0;0;0;0;0
FRVEC66958;0;1;1;0;0;1
HJRDX03616;1;1;1;1;1;1
ILWKJ65593;1;0;0;1;1;0
VFOXH98954;0;0;0;0;0;0
OSWTN44766;0;1;1;1;1;1
UPRYS29953;1;0;0;1;1;1
OLGAQ92089;0;0;1;1;0;0
MMETB41242;0;0;0;1;1;0
TLVRW88826;0;1;1;0;0;1
JIRMN29572;0;0;0;0;1;0
GBZSH02599;0;0;0;0;1;0
CTCUS71306;1;1;0;0;0;0
FFJDS82185;1;1;0;1;1;1
NFJTV82595;0;1;0;0;0;1
FIOIY79091;0;0;0;0;0;0
VLGQT33172;0;0;0;1;0;0
VOJQL27228;1;0;0;1;1;1
BJQGZ05849;1;1;1;0;1;1
VAILE67324;1;0;1;1;1;1
PEFPE83803;0;0;0;0;0;0
PWYJJ74028;0;0;0;1;0;1
FDVOU42501;1;1;0;0;0;0
CPXKI91285;0;0;1;1;1;0
WCSEP41831;1;0;0;0;0;1
SWRVG04042;0;0;0;0;0;0
HWPWX62272;0;0;0;0;0;0
VXWXM18992;1;0;1;1;1;0
JOVAH84501;0;1;0;0;0;0
VBOFE45508;1;0;1;1;1;0
CQJSU95465;0;0;1;0;1;0
KWMXN47896;0;1;1;1;1;1
AGAWH18554;0;0;1;1;1;0
YEXQJ90796;1;0;1;1;1;1
AMVUX35779;0;0;1;0;0;1
ESMLS23162;0;1;0;0;0;1
XSXUQ85501;1;0;1;1;0;0
DRCLG07237;0;0;0;0;0;0
OSJUV21765;1;1;0;0;0;1
ZZTFS81669;1;0;1;1;1;0
PECLO09291;0;0;1;1;0;0
QURRL56966;0;0;0;0;0;0
NZVGJ81247;0;0;0;1;1;1
MZLCC41307;1;0;0;0;0;0
SNOJF44896;0;1;1;0;1;1
HPEMB89841;1;1;1;1;1;1
PIVVU46154;0;0;1;1;0;1
TFHHJ87576;0;1;0;0;0;0
JANFB46039;0;0;0;0;0;0
HBFNN85659;1;1;1;1;0;1
WNBTY74224;1;0;1;1;0;0
WILCI53533;1;1;0;0;0;0
AADSA09887;1;1;1;1;0;1
RKSAP82705;0;0;0;0;0;0
