id_client;mariee;retraite;a_charge;genre;facture_mensuelle;telephone;plusieurs_numeros;internet;total_factures;contrat;facture_par_mail;type_de_paiement;client_depuis_mois;sortie_client
BRBUU70105;1;0;1;0;24.100;1;1;0;1734.650;2;0;Credit card (automatic);72;0
YGXVR96889;0;0;0;1;88.150;1;0;2;3973.200;0;1;Credit card (automatic);44;0
DOJGF92862;1;1;0;1;74.950;1;1;2;2869.850;0;1;Bank transfer (automatic);38;1
KERXL69946;0;0;0;0;55.900;1;0;1;238.500;0;1;Electronic check;4;0
UAESM21813;0;0;0;0;53.450;1;0;1;119.500;0;0;Electronic check;2;0
GVYNH43124;1;0;0;1;49.850;0;2;1;3370.200;2;1;Bank transfer (automatic);70;0
KZNFB24955;0;0;0;1;90.650;1;1;2;2989.600;0;1;Electronic check;33;0
NHWMM43679;0;0;0;1;24.900;0;2;1;24.900;0;1;Mailed check;1;0
KASCD88988;0;0;0;0;35.550;0;2;1;1309.150;1;0;Mailed check;39;0
NCFVO80164;0;1;0;0;116.500;1;1;2;6382.550;0;1;Electronic check;55;0
PHJYZ45789;1;0;1;0;68.750;1;0;1;3482.850;1;1;Electronic check;52;0
MJTFX20912;1;0;1;1;51.200;0;2;1;1561.500;0;0;Credit card (automatic);30;1
DJJDL22777;1;1;0;0;99.000;1;1;2;6017.900;0;1;Electronic check;60;0
MORQY25119;1;0;1;0;54.900;1;1;1;2614.100;1;0;Bank transfer (automatic);50;0
GJRDG27315;0;0;0;1;109.550;1;1;2;3608.000;1;1;Bank transfer (automatic);32;0
EZDKJ17844;1;0;0;0;106.800;1;1;2;5498.800;1;1;Bank transfer (automatic);51;0
SJFLM24688;0;0;0;0;74.300;1;0;2;74.300;0;1;Mailed check;1;0
SQAAU51151;1;0;1;1;25.600;1;1;0;1673.400;2;1;Bank transfer (automatic);69;0
XPXHZ87085;1;0;1;1;94.200;1;1;2;4186.300;0;1;Electronic check;42;1
WZHJF06014;1;0;0;0;46.350;0;2;1;667.700;0;0;Electronic check;14;1
